"Easting","Northing","richness"
420000,1150000,38
430000,1150000,48
430000,1160000,32
430000,1170000,34
430000,1180000,33
440000,1140000,40
440000,1150000,37
440000,1160000,35
320000,1010000,47
320000,1020000,57
330000,1000000,61
330000,1010000,65
330000,1020000,63
340000,1000000,50
350000,1000000,57
100000,910000,31
100000,920000,30
100000,930000,57
110000,900000,37
110000,910000,28
110000,920000,48
110000,930000,48
120000,900000,24
120000,910000,49
120000,920000,47
120000,930000,53
120000,940000,55
130000,910000,44
130000,920000,53
130000,930000,30
130000,940000,44
140000,930000,75
140000,940000,47
140000,950000,46
150000,950000,34
200000,900000,53
200000,910000,61
210000,900000,62
210000,910000,63
210000,920000,65
210000,930000,79
220000,900000,52
220000,910000,75
220000,920000,59
220000,930000,70
220000,940000,68
220000,950000,61
220000,960000,59
230000,900000,80
230000,910000,71
230000,920000,35
230000,930000,42
230000,940000,52
230000,950000,70
230000,960000,63
240000,900000,77
240000,910000,51
240000,920000,46
240000,930000,25
240000,940000,72
240000,950000,70
250000,900000,77
250000,910000,75
250000,920000,58
250000,930000,79
250000,940000,59
250000,950000,97
250000,960000,69
260000,900000,81
260000,910000,46
260000,920000,33
260000,930000,71
260000,940000,79
260000,950000,78
270000,900000,80
270000,910000,76
270000,920000,29
270000,930000,56
270000,940000,78
270000,950000,79
280000,900000,81
280000,910000,62
280000,920000,97
280000,930000,69
280000,940000,71
280000,950000,80
280000,960000,87
290000,910000,83
290000,920000,60
290000,930000,35
290000,940000,46
290000,950000,48
290000,960000,93
300000,920000,65
300000,930000,82
300000,940000,64
300000,950000,80
300000,960000,85
310000,930000,64
310000,940000,57
310000,950000,71
310000,960000,76
320000,930000,77
320000,940000,60
320000,950000,84
320000,960000,75
320000,990000,55
330000,940000,81
330000,950000,84
330000,960000,48
70000,820000,66
70000,830000,59
80000,830000,34
80000,850000,39
80000,860000,43
80000,870000,57
100000,880000,56
100000,890000,55
110000,890000,44
120000,840000,54
120000,850000,72
130000,820000,67
130000,830000,64
130000,840000,49
130000,850000,68
140000,820000,68
140000,830000,55
140000,840000,70
140000,850000,60
140000,860000,51
150000,820000,61
150000,830000,57
160000,810000,73
160000,820000,66
170000,800000,55
170000,820000,54
170000,840000,80
170000,850000,42
170000,880000,47
180000,800000,41
180000,810000,65
180000,820000,99
180000,830000,74
180000,840000,51
180000,850000,65
180000,860000,23
180000,870000,65
180000,880000,77
190000,800000,40
190000,810000,64
190000,820000,77
190000,830000,67
190000,840000,63
190000,850000,52
190000,860000,64
190000,870000,60
190000,880000,46
200000,800000,41
200000,810000,46
200000,820000,38
200000,830000,21
200000,840000,59
200000,850000,62
200000,860000,76
200000,870000,27
200000,880000,54
200000,890000,50
210000,800000,76
210000,810000,35
210000,820000,71
210000,830000,33
210000,840000,25
210000,850000,68
210000,860000,35
210000,870000,49
210000,880000,70
210000,890000,70
220000,800000,85
220000,810000,63
220000,820000,79
220000,830000,66
220000,840000,39
220000,850000,70
220000,860000,78
220000,870000,48
220000,880000,42
220000,890000,49
230000,800000,90
230000,810000,71
230000,820000,85
230000,830000,92
230000,840000,63
230000,850000,73
230000,860000,62
230000,870000,44
230000,880000,19
230000,890000,64
240000,800000,58
240000,810000,82
240000,820000,91
240000,830000,88
240000,840000,74
240000,850000,102
240000,860000,88
240000,870000,62
240000,880000,71
240000,890000,77
250000,800000,32
250000,810000,83
250000,820000,98
250000,830000,93
250000,840000,96
250000,850000,96
250000,860000,85
250000,870000,62
250000,880000,66
250000,890000,89
260000,800000,37
260000,810000,26
260000,820000,105
260000,830000,95
260000,840000,93
260000,850000,90
260000,860000,84
260000,870000,88
260000,880000,83
260000,890000,87
270000,800000,90
270000,810000,48
270000,820000,80
270000,830000,78
270000,840000,79
270000,860000,77
270000,870000,93
270000,880000,93
270000,890000,95
280000,800000,107
280000,810000,82
280000,820000,80
280000,830000,64
280000,840000,78
280000,850000,96
280000,870000,83
290000,800000,78
290000,810000,98
290000,820000,79
290000,830000,85
290000,840000,89
290000,850000,95
300000,800000,39
300000,810000,89
300000,820000,84
300000,830000,83
300000,840000,88
300000,850000,99
310000,800000,48
310000,810000,67
310000,820000,68
310000,830000,91
310000,840000,86
310000,850000,88
310000,860000,71
320000,800000,47
320000,810000,38
320000,820000,69
320000,830000,65
320000,840000,90
320000,850000,85
320000,860000,93
330000,800000,54
330000,810000,77
330000,820000,79
330000,830000,78
330000,840000,72
330000,850000,86
330000,860000,77
340000,800000,79
340000,810000,90
340000,820000,66
340000,830000,56
340000,840000,67
340000,850000,76
340000,860000,82
350000,800000,88
350000,810000,60
350000,820000,40
350000,830000,41
350000,840000,62
350000,850000,62
350000,860000,67
360000,800000,57
360000,810000,69
360000,820000,53
360000,830000,41
360000,840000,58
360000,850000,76
360000,860000,75
370000,800000,76
370000,810000,64
370000,820000,56
370000,830000,61
370000,840000,52
370000,850000,55
380000,800000,64
380000,810000,81
380000,820000,44
380000,830000,84
380000,840000,60
380000,850000,46
380000,860000,56
390000,800000,59
390000,810000,76
390000,820000,66
390000,830000,59
390000,840000,51
390000,850000,67
390000,860000,53
400000,830000,64
400000,840000,62
400000,850000,87
130000,790000,50
140000,720000,86
140000,740000,78
140000,750000,92
140000,760000,66
150000,720000,75
150000,730000,74
150000,740000,88
150000,750000,85
150000,760000,78
160000,720000,77
160000,730000,73
160000,740000,73
160000,750000,62
160000,760000,81
170000,740000,68
170000,750000,68
170000,760000,76
170000,770000,53
170000,780000,57
170000,790000,53
180000,700000,70
180000,710000,78
180000,720000,90
180000,750000,63
180000,760000,84
180000,770000,46
180000,780000,54
180000,790000,47
190000,700000,61
190000,710000,64
190000,720000,43
190000,730000,86
190000,740000,88
190000,760000,71
190000,770000,69
190000,780000,63
190000,790000,44
200000,700000,75
200000,710000,70
200000,720000,58
200000,730000,26
200000,740000,63
200000,750000,27
200000,760000,76
200000,770000,67
200000,780000,44
200000,790000,56
210000,700000,77
210000,710000,62
210000,720000,58
210000,730000,41
210000,740000,29
210000,750000,57
210000,760000,55
210000,770000,92
210000,780000,83
210000,790000,66
220000,700000,63
220000,710000,52
220000,720000,57
220000,730000,68
220000,740000,70
220000,750000,8
220000,760000,43
220000,770000,55
220000,780000,83
220000,790000,70
230000,700000,81
230000,710000,75
230000,720000,60
230000,730000,73
230000,740000,82
230000,750000,46
230000,760000,45
230000,770000,52
230000,780000,72
230000,790000,53
240000,700000,76
240000,710000,76
240000,720000,46
240000,730000,68
240000,740000,59
240000,750000,78
240000,760000,55
240000,770000,30
240000,780000,80
240000,790000,49
250000,700000,83
250000,710000,93
250000,720000,69
250000,730000,94
250000,740000,73
250000,750000,85
250000,760000,51
250000,770000,55
250000,780000,56
250000,790000,75
260000,700000,67
260000,710000,49
260000,720000,69
260000,730000,75
260000,740000,74
260000,750000,85
260000,760000,53
260000,770000,53
260000,780000,66
260000,790000,88
270000,700000,90
270000,710000,91
270000,720000,99
270000,730000,53
270000,740000,84
270000,750000,87
270000,760000,82
270000,770000,54
270000,780000,36
270000,790000,95
280000,700000,105
280000,710000,108
280000,720000,95
280000,730000,87
280000,740000,95
280000,750000,96
280000,760000,88
280000,770000,58
280000,780000,23
280000,790000,64
290000,700000,86
290000,710000,90
290000,720000,86
290000,730000,88
290000,740000,82
290000,750000,95
290000,760000,99
290000,770000,45
290000,780000,25
290000,790000,23
300000,700000,97
300000,710000,96
300000,720000,90
300000,730000,99
300000,740000,104
300000,750000,76
300000,760000,94
300000,770000,58
300000,780000,66
300000,790000,40
310000,700000,96
310000,710000,79
310000,720000,83
310000,730000,85
310000,740000,96
310000,750000,76
310000,760000,95
310000,770000,57
310000,780000,35
310000,790000,58
320000,700000,84
320000,710000,89
320000,720000,69
320000,730000,75
320000,740000,88
320000,750000,95
320000,760000,77
320000,770000,65
320000,780000,37
320000,790000,61
330000,700000,86
330000,710000,87
330000,720000,72
330000,730000,79
330000,740000,81
330000,750000,107
330000,760000,98
330000,770000,84
330000,780000,44
330000,790000,71
340000,700000,89
340000,710000,91
340000,720000,96
340000,730000,64
340000,740000,73
340000,750000,87
340000,760000,82
340000,770000,69
340000,780000,51
340000,790000,84
350000,700000,77
350000,710000,73
350000,730000,90
350000,740000,84
350000,750000,86
350000,760000,62
350000,770000,73
350000,780000,37
350000,790000,102
360000,740000,71
360000,750000,93
360000,760000,95
360000,770000,77
360000,780000,78
360000,790000,77
370000,760000,75
370000,770000,39
370000,780000,59
370000,790000,55
380000,770000,57
380000,780000,58
380000,790000,62
120000,660000,95
130000,640000,80
130000,650000,84
130000,660000,90
130000,670000,56
140000,650000,78
140000,660000,83
140000,670000,67
150000,670000,79
150000,680000,50
160000,610000,80
160000,690000,53
170000,610000,73
170000,620000,89
170000,630000,93
170000,640000,81
170000,650000,86
170000,660000,71
170000,670000,77
170000,680000,90
180000,650000,80
180000,660000,91
180000,670000,72
180000,680000,87
180000,690000,96
190000,620000,71
190000,630000,70
190000,640000,62
190000,670000,89
190000,680000,86
190000,690000,79
200000,660000,75
200000,670000,89
200000,680000,80
200000,690000,79
210000,670000,75
210000,680000,85
210000,690000,81
220000,600000,66
220000,640000,58
220000,650000,51
220000,660000,68
220000,670000,89
220000,680000,91
220000,690000,85
230000,600000,79
230000,610000,68
230000,620000,83
230000,630000,74
230000,640000,71
230000,650000,97
230000,660000,91
230000,670000,95
230000,680000,93
230000,690000,80
240000,600000,93
240000,610000,98
240000,620000,72
240000,630000,58
240000,640000,66
240000,650000,85
240000,660000,92
240000,670000,105
240000,680000,109
240000,690000,91
250000,600000,35
250000,610000,79
250000,620000,71
250000,630000,70
250000,640000,70
250000,650000,89
250000,660000,84
250000,670000,101
250000,680000,97
250000,690000,79
260000,600000,57
260000,610000,90
260000,620000,76
260000,630000,86
260000,640000,85
260000,650000,100
260000,660000,88
260000,670000,90
260000,680000,89
260000,690000,83
270000,600000,68
270000,610000,83
270000,620000,77
270000,630000,82
270000,640000,81
270000,650000,95
270000,660000,90
270000,670000,100
270000,680000,78
270000,690000,83
280000,600000,70
280000,610000,75
280000,620000,76
280000,630000,102
280000,640000,90
280000,650000,89
280000,660000,87
280000,670000,70
280000,680000,57
280000,690000,97
290000,600000,68
290000,610000,77
290000,620000,82
290000,630000,93
290000,640000,101
290000,650000,82
290000,660000,87
290000,670000,84
290000,680000,70
290000,690000,86
300000,600000,94
300000,610000,67
300000,620000,78
300000,630000,83
300000,640000,90
300000,650000,89
300000,660000,101
300000,670000,94
300000,680000,78
300000,690000,71
310000,600000,79
310000,610000,51
310000,620000,80
310000,630000,90
310000,640000,91
310000,650000,91
310000,660000,112
310000,670000,90
310000,680000,79
310000,690000,95
320000,600000,74
320000,610000,72
320000,620000,79
320000,630000,86
320000,640000,98
320000,650000,109
320000,660000,91
320000,670000,87
320000,690000,80
330000,600000,85
330000,610000,91
330000,620000,85
330000,630000,91
330000,640000,83
330000,650000,103
330000,660000,86
340000,600000,65
340000,610000,74
340000,620000,101
340000,630000,94
340000,640000,92
340000,650000,88
340000,660000,81
340000,670000,88
350000,600000,69
350000,610000,80
350000,620000,84
350000,630000,89
350000,640000,88
350000,650000,86
350000,660000,94
350000,670000,86
350000,680000,84
360000,600000,85
360000,610000,85
360000,620000,86
360000,630000,84
360000,640000,89
360000,650000,88
360000,660000,86
360000,670000,104
370000,600000,78
370000,610000,89
370000,620000,77
370000,630000,92
370000,640000,93
370000,650000,89
370000,660000,83
380000,600000,69
380000,610000,64
380000,620000,92
380000,630000,96
380000,640000,102
380000,650000,83
380000,660000,103
390000,600000,88
390000,610000,68
390000,620000,96
390000,630000,80
390000,640000,86
390000,650000,83
400000,600000,111
400000,610000,82
400000,620000,88
400000,630000,79
400000,640000,82
410000,600000,78
410000,610000,80
410000,620000,78
410000,630000,79
420000,600000,86
420000,610000,87
200000,550000,75
200000,560000,86
200000,570000,69
210000,550000,91
210000,560000,87
210000,570000,64
210000,580000,82
220000,550000,79
220000,560000,76
220000,570000,87
220000,580000,60
220000,590000,87
230000,540000,81
230000,550000,90
230000,560000,79
230000,570000,98
230000,580000,72
230000,590000,59
240000,540000,79
240000,550000,89
240000,560000,100
240000,570000,78
240000,580000,62
240000,590000,35
250000,550000,85
250000,560000,87
250000,570000,82
250000,580000,80
250000,590000,74
260000,550000,84
260000,560000,108
260000,570000,105
260000,580000,98
260000,590000,86
270000,540000,99
270000,550000,84
270000,560000,95
270000,570000,91
270000,580000,89
270000,590000,83
280000,550000,92
