Date,Location,Temperature
1/1/2010,Zurich,3.6
1/2/2010,Zurich,9.4
1/3/2010,Zurich,7.9
1/4/2010,Zurich,1.2
1/5/2010,Zurich,2.7
1/6/2010,Zurich,2
1/7/2010,Zurich,4
1/8/2010,Zurich,3.8
1/9/2010,Zurich,6
1/10/2010,Zurich,2
1/11/2010,Zurich,3.5
1/12/2010,Zurich,1.9
1/13/2010,Zurich,7
1/14/2010,Zurich,4.8
1/15/2010,Zurich,1.7
1/16/2010,Zurich,1.1
1/17/2010,Zurich,1.3
1/18/2010,Zurich,3.3
1/19/2010,Zurich,8
1/20/2010,Zurich,1.4
1/21/2010,Zurich,6.4
1/22/2010,Zurich,9.3
1/23/2010,Zurich,4.3
1/24/2010,Zurich,8.6
1/25/2010,Zurich,9.2
1/26/2010,Zurich,7.2
1/27/2010,Zurich,7.1
1/28/2010,Zurich,0.1
1/29/2010,Zurich,8.6
1/30/2010,Zurich,3.8
1/31/2010,Zurich,6.4
1/1/2010,Gainesville,17.2
1/2/2010,Zurich,24.9
1/3/2010,Zurich,22
1/4/2010,Zurich,18.6
1/5/2010,Zurich,18.6
1/6/2010,Zurich,16.2
1/7/2010,Zurich,18.6
1/8/2010,Zurich,22.9
1/9/2010,Zurich,19.7
1/10/2010,Zurich,23.5
1/11/2010,Zurich,21.5
1/12/2010,Zurich,17.7
1/13/2010,Zurich,18.9
1/14/2010,Zurich,22
1/15/2010,Zurich,20.3
1/16/2010,Zurich,20.4
1/17/2010,Zurich,15.4
1/18/2010,Zurich,17.1
1/19/2010,Zurich,23.1
1/20/2010,Zurich,22.3
1/21/2010,Zurich,22.9
1/22/2010,Zurich,24.4
1/23/2010,Zurich,19.8
1/24/2010,Zurich,24.9
1/25/2010,Zurich,22.3
1/26/2010,Zurich,23.4
1/27/2010,Zurich,22.8
1/28/2010,Zurich,15.2
1/29/2010,Zurich,23.8
1/30/2010,Zurich,15.5
1/31/2010,Zurich,21.7
