parasite,rep,growth.rate
control,1,1.074709238
control,2,1.265901554
control,3,1.31515627
control,4,1.075751884
control,5,1.196761947
control,6,1.383795474
control,7,1.32396515
control,8,1.104369989
control,9,1.277534322
control,10,1.121142009
Metschnikowia bicuspidata,1,1.11905616
Metschnikowia bicuspidata,2,0.947664941
Metschnikowia bicuspidata,3,0.877968647
Metschnikowia bicuspidata,4,0.791013278
Metschnikowia bicuspidata,5,0.918780264
Metschnikowia bicuspidata,6,0.402129661
Metschnikowia bicuspidata,7,0.505849523
Metschnikowia bicuspidata,8,0.779442455
Metschnikowia bicuspidata,9,0.717001087
Metschnikowia bicuspidata,10,0.95263515
Pansporella perplexa,1,1.136728665
Pansporella perplexa,2,0.935906323
Pansporella perplexa,3,1.038922323
Pansporella perplexa,4,0.657060023
Pansporella perplexa,5,1.288767242
Pansporella perplexa,6,1.25642726
Pansporella perplexa,7,1.088774252
Pansporella perplexa,8,1.183588312
Pansporella perplexa,9,1.089238992
Pansporella perplexa,10,1.088137321
Pasteuria ramosa,1,0.232874278
Pasteuria ramosa,2,0.49748581
Pasteuria ramosa,3,0.702356234
Pasteuria ramosa,4,0.624986184
Pasteuria ramosa,5,0.564244239
Pasteuria ramosa,6,0.414912997
Pasteuria ramosa,7,0.368840899
Pasteuria ramosa,8,0.67173591
Pasteuria ramosa,9,0.124588089
Pasteuria ramosa,10,0.620005074
