flower,colour,number.of.visits
F1,red,48
F2,white,16
F3,yellow,29
F4,orange,21
F5,red,5
F6,white,68
F7,yellow ,20
F8,orange,96
F9,red,26
F10,white,54
F11,yellow,74
F12,orange,82
F13,red,9
F14,white,90
F15,yellow,26
F16,orange,57
F17,red,84
F18,white,76
F19,yellow,63
F20,orange,31
F21,red,7
F22,white,63
F23,yellow,69
F24,orange,97
F25,red,3
F26,white,67
F27,yellow,40
F28,orange,24
F29,red,30
F30,white,63
F31,yellow,1
F32,orange,11
F33,red,80
F34,white,72
F35,yellow,62
F36,orange,0
F37,red,22
F38,white,0
F39,yellow,30
F40,orange,25
F41,red,82
F42,white,72
F43,yellow,81
F44,orange,90
F45,red,60
F46,white,4
F47,yellow,4
F48,orange,16
F49,red,90
F50,white,90
