bird,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
dj,1.36,1.39,-1.00,0.11,-1.00,-0.30,-0.52,0.89,1.51,0.83,-0.30,0.11,-1.00,0.28,1.87,1.42,1.13,0.96,1.24,-1.00,0.92,1.20,0.63,1.50,19,1.9,3.2
ht,1.28,1.01,-1.00,-1.00,-1.00,-1.00,-1.00,1.01,1.43,1.33,0.23,0.45,-0.22,0.83,1.89,1.36,1.40,1.22,0.80,-1.00,-1.00,1.52,-1.00,1.28,30,2.5,3.9
swt,1.45,0.79,-0.52,-0.52,-1.00,-1.00,-0.05,0.61,1.50,1.33,0.74,-0.52,-1.00,0.23,1.85,1.46,1.44,1.43,1.29,-1.00,0.89,0.96,0.30,0.86,30.1,2.7,5.2
ww,0.76,1.31,-0.40,0.76,0.65,-0.40,0.23,0.82,1.11,0.82,0.08,1.17,0.96,1.00,-1.00,-1.00,1.45,1.07,1.27,0.28,0.92,1.16,0.59,1.11,9.2,1.7,1.1
ob,1.21,1.09,-1.00,-0.30,-1.00,-1.00,-0.15,0.18,1.65,1.28,-0.15,0.23,-1.00,0.40,-1.00,-1.00,1.08,1.18,0.57,-1.00,1.27,1.18,0.75,1.48,19.5,0.2,0.9
ve,1.51,0.82,-1.00,-0.05,-1.00,-1.00,-1.00,-1.00,1.66,0.88,0.45,-0.05,-1.00,0.45,-1.00,-1.00,1.28,1.28,0.68,-1.00,1.49,1.33,-1.00,0.68,31.9,0.6,1.4
wt,0.61,0.67,-1.00,-1.00,-1.00,-1.00,-1.00,0.20,1.02,1.86,0.20,0.00,-1.00,0.61,-1.00,-1.00,1.46,1.46,0.68,-1.00,0.98,0.98,-1.00,1.28,49,0.2,1
hw,-1.00,-1.00,-1.00,-0.10,1.30,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.40,1.88,-1.00,2.00,-1.00,1.38,1.54,1.61,-0.10,-1.00,-1.00,-1.00,-1.00,66.9,9.8,3.4
ybs,0.67,0.26,-1.00,0.95,1.22,-1.00,-1.00,0.95,-1.00,-1.00,0.08,1.44,1.48,-1.00,2.00,-0.10,0.23,1.66,1.58,1.09,0.23,-1.00,-1.00,-1.00,48.3,10.3,4.2
dw,-0.30,-1.00,-1.00,1.09,1.40,-1.00,-1.00,-1.00,-0.30,-1.00,-1.00,1.20,1.66,-1.00,2.00,-1.00,1.24,1.37,1.75,0.41,-1.00,-1.00,-1.00,-1.00,26.7,10.8,4.8
wbn,-1.00,-1.00,-1.00,1.15,0.92,-1.00,-0.40,0.45,-1.00,-1.00,-1.00,1.72,1.35,-1.00,2.00,-0.05,1.37,1.59,1.47,0.77,-0.15,-1.00,0.32,-1.00,21,12,4.8
sv,1.36,0.94,1.15,1.02,-1.00,-0.05,0.26,0.41,-1.00,-1.00,1.46,0.98,-1.00,-1.00,1.92,1.20,1.20,1.22,1.70,0.49,-1.00,-1.00,1.15,-1.00,17,10.5,4.5
bbw,1.36,1.73,-0.40,0.40,-1.00,-0.70,0.72,0.94,-1.00,-1.00,0.15,0.66,-1.00,-1.00,1.33,1.89,1.03,0.87,1.77,0.70,-0.22,-1.00,1.25,-1.00,10.4,15,4.2
bcc,0.88,1.49,0.04,1.21,-1.00,-0.70,1.13,0.46,-0.15,-1.00,0.04,1.41,-1.00,-0.70,1.76,1.63,0.76,1.13,1.88,0.61,-1.00,-0.70,-0.05,-1.00,11.5,12.7,5.3
gw,1.49,1.63,-0.05,0.15,-1.00,0.23,0.63,1.06,0.00,-1.00,0.34,0.49,-1.00,-0.70,1.51,1.83,0.91,1.46,1.72,-0.22,0.30,-0.70,0.87,-1.00,9,13.9,4.8
rv,1.72,1.49,0.04,0.41,-1.00,0.20,0.11,0.85,-1.00,-1.00,0.23,0.08,-1.00,-1.00,1.64,1.75,1.47,1.61,1.38,0.36,0.28,-1.00,0.11,-1.00,17.6,11.5,4.8
pv,1.81,1.27,0.28,0.58,-1.00,0.00,0.26,0.77,-0.52,-1.00,0.15,-0.22,-1.00,-1.00,1.62,1.76,0.96,1.43,1.61,1.29,0.43,-0.30,-0.22,-0.30,12.1,14.4,6.5
rbg,1.49,1.65,-0.10,0.46,-1.00,-0.52,0.32,0.82,0.04,-1.00,0.72,0.70,-1.00,-1.00,1.69,1.71,1.39,1.47,1.56,0.62,0.62,0.00,-0.30,-1.00,43.9,11.4,5.4
sct,1.62,1.13,0.46,0.94,-1.00,-1.00,0.15,1.38,-0.30,-1.00,0.72,0.28,-1.00,-1.00,1.77,1.61,1.47,1.23,1.67,0.11,0.32,-1.00,0.48,-1.00,28.1,12.8,4.9
lf,1.87,0.26,-0.30,-0.70,-1.00,-1.00,-0.30,1.34,-1.00,-1.00,-0.30,-0.30,-1.00,-1.00,1.29,1.91,1.34,1.55,1.58,-0.30,0.52,-0.70,-0.52,-0.70,10.5,11.1,5.2
ar,1.71,1.15,-0.70,0.41,-1.00,-1.00,-0.52,1.47,-0.52,-1.00,-0.22,-0.15,-1.00,-1.00,1.52,1.83,1.33,1.58,1.52,-0.30,0.57,-0.70,-0.30,0.28,8.9,11,4.8
bw,1.67,1.50,-0.30,0.20,-1.00,-1.00,-1.00,1.04,-1.00,-1.00,0.56,0.41,-1.00,0.32,1.89,1.34,1.42,1.29,1.47,-1.00,1.02,0.97,0.20,0.49,9.9,5.8,4.1
