"","Easting","Northing","anomaly"
"783",7,82,-2.78768020969856
"784",7,83,-2.78768020969856
"884",8,83,-2.58768020969856
"886",8,85,-2.68768020969856
"887",8,86,-2.78768020969856
"888",8,87,-2.78768020969856
"1089",10,88,-2.58768020969856
"1090",10,89,-2.68768020969856
"1092",10,91,-2.78768020969856
"1093",10,92,-2.88768020969856
"1094",10,93,-3.08768020969856
"1190",11,89,-2.68768020969856
"1191",11,90,-2.58768020969856
"1192",11,91,-2.78768020969856
"1193",11,92,-2.88768020969856
"1194",11,93,-3.18768020969856
"1267",12,66,-2.88768020969856
"1285",12,84,-2.38768020969856
"1286",12,85,-2.28768020969856
"1291",12,90,-2.58768020969856
"1292",12,91,-2.68768020969856
"1293",12,92,-2.88768020969856
"1294",12,93,-3.08768020969856
"1295",12,94,-3.08768020969856
"1365",13,64,-2.68768020969856
"1366",13,65,-2.78768020969856
"1367",13,66,-2.68768020969856
"1368",13,67,-2.68768020969856
"1380",13,79,-2.18768020969856
"1383",13,82,-2.28768020969856
"1384",13,83,-2.28768020969856
"1385",13,84,-2.28768020969856
"1386",13,85,-2.38768020969856
"1392",13,91,-2.78768020969856
"1393",13,92,-2.88768020969856
"1394",13,93,-2.88768020969856
"1395",13,94,-3.08768020969856
"1404",14,3,-1.98768020969856
"1466",14,65,-2.48768020969856
"1467",14,66,-2.58768020969856
"1468",14,67,-2.48768020969856
"1473",14,72,-2.38768020969856
"1475",14,74,-2.28768020969856
"1476",14,75,-2.38768020969856
"1477",14,76,-2.38768020969856
"1483",14,82,-2.08768020969856
"1484",14,83,-2.18768020969856
"1485",14,84,-2.18768020969856
"1486",14,85,-2.08768020969856
"1487",14,86,-2.18768020969856
"1494",14,93,-2.88768020969856
"1495",14,94,-2.98768020969856
"1496",14,95,-3.08768020969856
"1504",15,3,-2.08768020969856
"1568",15,67,-2.28768020969856
"1569",15,68,-2.38768020969856
"1573",15,72,-2.18768020969856
"1574",15,73,-2.18768020969856
"1575",15,74,-2.18768020969856
"1576",15,75,-2.18768020969856
"1577",15,76,-2.18768020969856
"1583",15,82,-1.98768020969856
"1584",15,83,-2.08768020969856
"1596",15,95,-3.08768020969856
"1603",16,2,-2.08768020969856
"1604",16,3,-1.98768020969856
"1605",16,4,-1.88768020969856
"1662",16,61,-2.18768020969856
"1670",16,69,-2.18768020969856
"1673",16,72,-1.88768020969856
"1674",16,73,-1.88768020969856
"1675",16,74,-1.98768020969856
"1676",16,75,-1.98768020969856
"1677",16,76,-1.98768020969856
"1682",16,81,-2.08768020969856
"1683",16,82,-2.08768020969856
"1703",17,2,-2.08768020969856
"1704",17,3,-1.88768020969856
"1705",17,4,-1.78768020969856
"1706",17,5,-1.68768020969856
"1762",17,61,-1.98768020969856
"1763",17,62,-2.08768020969856
"1764",17,63,-1.98768020969856
"1765",17,64,-2.08768020969856
"1766",17,65,-2.18768020969856
"1767",17,66,-2.08768020969856
"1768",17,67,-2.08768020969856
"1769",17,68,-2.08768020969856
"1775",17,74,-1.88768020969856
"1776",17,75,-1.78768020969856
"1777",17,76,-1.78768020969856
"1778",17,77,-1.78768020969856
"1779",17,78,-1.88768020969856
"1780",17,79,-1.88768020969856
"1781",17,80,-1.78768020969856
"1783",17,82,-1.68768020969856
"1785",17,84,-1.78768020969856
"1786",17,85,-1.88768020969856
"1789",17,88,-2.08768020969856
"1804",18,3,-1.98768020969856
"1805",18,4,-1.78768020969856
"1806",18,5,-1.68768020969856
"1807",18,6,-1.58768020969856
"1821",18,20,-1.28768020969856
"1822",18,21,-1.28768020969856
"1823",18,22,-1.28768020969856
"1866",18,65,-1.98768020969856
"1867",18,66,-1.88768020969856
"1868",18,67,-1.88768020969856
"1869",18,68,-1.88768020969856
"1870",18,69,-1.98768020969856
"1871",18,70,-1.78768020969856
"1872",18,71,-1.58768020969856
"1873",18,72,-1.78768020969856
"1876",18,75,-1.68768020969856
"1877",18,76,-1.58768020969856
"1878",18,77,-1.48768020969856
"1879",18,78,-1.58768020969856
"1880",18,79,-1.48768020969856
"1881",18,80,-1.58768020969856
"1882",18,81,-1.58768020969856
"1883",18,82,-1.58768020969856
"1884",18,83,-1.68768020969856
"1885",18,84,-1.58768020969856
"1886",18,85,-1.68768020969856
"1887",18,86,-1.68768020969856
"1888",18,87,-1.98768020969856
"1889",18,88,-1.98768020969856
"1905",19,4,-1.68768020969856
"1906",19,5,-1.58768020969856
"1907",19,6,-1.48768020969856
"1908",19,7,-1.58768020969856
"1920",19,19,-1.18768020969856
"1921",19,20,-1.18768020969856
"1922",19,21,-1.28768020969856
"1923",19,22,-1.18768020969856
"1924",19,23,-1.18768020969856
"1963",19,62,-1.68768020969856
"1964",19,63,-1.68768020969856
"1965",19,64,-1.58768020969856
"1968",19,67,-1.68768020969856
"1969",19,68,-1.58768020969856
"1970",19,69,-1.58768020969856
"1971",19,70,-1.58768020969856
"1972",19,71,-1.38768020969856
"1973",19,72,-1.48768020969856
"1974",19,73,-1.48768020969856
"1975",19,74,-1.58768020969856
"1977",19,76,-1.48768020969856
"1978",19,77,-1.48768020969856
"1979",19,78,-1.28768020969856
"1980",19,79,-1.18768020969856
"1981",19,80,-1.28768020969856
"1982",19,81,-1.28768020969856
"1983",19,82,-1.28768020969856
"1984",19,83,-1.48768020969856
"1985",19,84,-1.48768020969856
"1986",19,85,-1.38768020969856
"1987",19,86,-1.48768020969856
"1988",19,87,-1.68768020969856
"1989",19,88,-1.68768020969856
"2006",20,5,-1.48768020969856
"2007",20,6,-1.48768020969856
"2008",20,7,-1.38768020969856
"2009",20,8,-1.28768020969856
"2021",20,20,-1.18768020969856
"2022",20,21,-1.18768020969856
"2023",20,22,-1.08768020969856
"2024",20,23,-1.08768020969856
"2056",20,55,-1.88768020969856
"2057",20,56,-1.78768020969856
"2058",20,57,-1.68768020969856
"2067",20,66,-1.68768020969856
"2068",20,67,-1.48768020969856
"2069",20,68,-1.38768020969856
"2070",20,69,-1.38768020969856
"2071",20,70,-1.28768020969856
"2072",20,71,-1.28768020969856
"2073",20,72,-1.38768020969856
"2074",20,73,-1.18768020969856
"2075",20,74,-1.18768020969856
"2076",20,75,-1.18768020969856
"2077",20,76,-1.38768020969856
"2078",20,77,-1.38768020969856
"2079",20,78,-1.28768020969856
"2080",20,79,-1.18768020969856
"2081",20,80,-1.08768020969856
"2082",20,81,-0.987680209698558
"2083",20,82,-0.987680209698558
"2084",20,83,-1.08768020969856
"2085",20,84,-1.08768020969856
"2086",20,85,-1.28768020969856
"2087",20,86,-1.38768020969856
"2088",20,87,-1.28768020969856
"2089",20,88,-1.48768020969856
"2090",20,89,-1.68768020969856
"2091",20,90,-1.88768020969856
"2092",20,91,-2.18768020969856
"2106",21,5,-1.48768020969856
"2107",21,6,-1.48768020969856
"2108",21,7,-1.18768020969856
"2109",21,8,-1.28768020969856
"2110",21,9,-1.38768020969856
"2121",21,20,-1.08768020969856
"2122",21,21,-1.08768020969856
"2123",21,22,-1.08768020969856
"2124",21,23,-0.987680209698558
"2125",21,24,-1.18768020969856
"2156",21,55,-1.78768020969856
"2157",21,56,-1.58768020969856
"2158",21,57,-1.48768020969856
"2159",21,58,-1.38768020969856
"2168",21,67,-1.18768020969856
"2169",21,68,-1.18768020969856
"2170",21,69,-1.08768020969856
"2171",21,70,-0.987680209698558
"2172",21,71,-0.987680209698558
