"","rep","temperature","species","times","abundance","pH"
"1","R1",6,"S1",1,1.4417524429658,5.6
"2","R2",6,"S1",1,4.56081845432464,5.6
"3","R3",6,"S1",1,7.11620791966711,5.6
"4","R1",8,"S1",1,7.1856664463231,5.8
"5","R2",8,"S1",1,22.2255768733563,5.8
"6","R3",8,"S1",1,16.8473465475226,5.8
"7","R1",10,"S1",1,91.1600480814973,6
"8","R2",10,"S1",1,9.11949762622468,6
"9","R3",10,"S1",1,17.2886909533652,6
"10","R1",12,"S1",1,127.942149692358,6.2
"11","R2",12,"S1",1,79.4377441943874,6.2
"12","R3",12,"S1",1,3.80332837557483,6.2
"13","R1",14,"S1",1,53.0131460501503,6.4
"14","R2",14,"S1",1,63.0124200013806,6.4
"15","R3",14,"S1",1,16.4786565235293,6.4
"16","R1",16,"S1",1,27.4538724917651,6.6
"17","R2",16,"S1",1,142.033334496754,6.6
"18","R3",16,"S1",1,9.65778412608001,6.6
"19","R1",18,"S1",1,31.5774293177419,6.8
"20","R2",18,"S1",1,14.8227625644201,6.8
"21","R3",18,"S1",1,4.91047914278536,6.8
"22","R1",20,"S1",1,23.882801115529,7
"23","R2",20,"S1",1,13.463162061349,7
"24","R3",20,"S1",1,24.9332188087357,7
"25","R1",22,"S1",1,19.2745375681514,7.2
"26","R2",22,"S1",1,35.3890903486198,7.2
"27","R3",22,"S1",1,48.9026630851756,7.2
"28","R1",24,"S1",1,39.2891129451399,7.4
"29","R2",24,"S1",1,6.16241658298829,7.4
"30","R3",24,"S1",1,17.2462674328117,7.4
"31","R1",26,"S1",1,138.330162679544,7.6
"32","R2",26,"S1",1,23.2031058915522,7.6
"33","R3",26,"S1",1,37.6886360863832,7.6
"34","R1",6,"S2",1,6.96676985340088,5.6
"35","R2",6,"S2",1,16.9002376549907,5.6
"36","R3",6,"S2",1,5.80382320300467,5.6
"37","R1",8,"S2",1,27.3698657079683,5.8
"38","R2",8,"S2",1,45.7932966980765,5.8
"39","R3",8,"S2",1,7.61969436390669,5.8
"40","R1",10,"S2",1,28.601713159758,6
"41","R2",10,"S2",1,8.6051168633828,6
"42","R3",10,"S2",1,13.6872064878371,6
"43","R1",12,"S2",1,60.6356945984694,6.2
"44","R2",12,"S2",1,32.1052419391056,6.2
"45","R3",12,"S2",1,284.829722971658,6.2
"46","R1",14,"S2",1,15.2741887207583,6.4
"47","R2",14,"S2",1,48.4360990419732,6.4
"48","R3",14,"S2",1,14.6044710169619,6.4
"49","R1",16,"S2",1,122.983729094784,6.6
"50","R2",16,"S2",1,161.935776979067,6.6
"51","R3",16,"S2",1,319.986484223529,6.6
"52","R1",18,"S2",1,336.299911495163,6.8
"53","R2",18,"S2",1,20.1255329678285,6.8
"54","R3",18,"S2",1,14.7681623429473,6.8
"55","R1",20,"S2",1,114.536499619719,7
"56","R2",20,"S2",1,607.597934241155,7
"57","R3",20,"S2",1,286.982899621221,7
"58","R1",22,"S2",1,585.626007359097,7.2
"59","R2",22,"S2",1,48.1370930542987,7.2
