Species,Bottle,Temp,1.2.13,2.2.13,3.2.13,4.2.13,6.2.13,8.2.13,10.2.13,12.2.13
P.caudatum,7-P.c,22,100.00,58.80,67.50,6.80,0.93,0.39,0.19,0.46
P.caudatum,8-P.c,22,62.50,71.30,67.50,7.90,0.90,0.36,0.16,0.34
P.caudatum,9-P.c,22,75.00,72.50,62.30,7.90,0.88,0.25,0.23,0.31
P.caudatum,22-P.c,20,75.00,73.80,76.30,31.30,3.12,1.01,0.56,0.50
P.caudatum,23-P.c,20,50.00,,81.30,32.50,3.75,1.06,0.49,0.38
P.caudatum,24-P.c,20,87.50,,62.50,28.80,3.12,1.00,0.41,0.46
P.caudatum,37-P.c,15,75.00,,90.00,72.50,102.50,67.50,37.50,41.25
P.caudatum,38-P.c,15,50.00,,78.80,92.50,68.75,72.50,52.50,45.00
P.caudatum,39-P.c,15,75.00,,78.30,77.50,116.20,60.00,60.00,36.25
Tetrahymena,13-T.t,22,37.50,52.50,23.80,1.25,0.88,0.96,0.33,0.91
Tetrahymena,14-T.t,22,137.50,63.70,27.50,1.75,0.83,1.06,0.40,0.34
Tetrahymena,15-T.t,22,75.00,70.00,26.30,1.13,0.86,1.16,0.30,0.30
Tetrahymena,28-T.t,20,112.50,,63.80,5.25,0.76,0.75,0.79,0.60
Tetrahymena,29-T.t,20,150.00,,63.80,6.50,0.96,0.99,0.51,0.38
Tetrahymena,30-T.t,20,100.00,,67.50,5.23,1.05,0.84,0.74,0.50
Tetrahymena,43-T.t,15,50.00,67.50,80.00,72.50,70.00,45.00,16.25,2.00
Tetrahymena,44-T.t,15,37.50,67.50,72.50,75.00,57.50,41.25,16.25,2.90
Tetrahymena,45-T.t,15,50.00,75.00,57.50,92.50,72.50,50.00,16.25,2.75
Colpidium,10-C.s,22,75.00,57.50,92.50,60.00,12.25,11.25,9.00,6.38
Colpidium,11-C.s,22,137.50,56.30,72.50,87.50,11.00,9.87,11.13,9.37
Colpidium,12-C.s,22,62.50,72.50,91.30,78.80,12.25,12.20,10.63,11.63
Colpidium,25-C.s,20,125.00,,86.30,81.30,27.50,14.50,17.50,25.00
Colpidium,26-C.s,20,50.00,,100.00,43.80,25.00,13.75,13.75,18.75
Colpidium,27-C.s,20,62.50,,108.80,65.00,28.75,15.87,17.50,20.00
Colpidium,40-C.s,15,62.50,,86.30,78.80,68.75,43.75,26.25,21.25
Colpidium,41-C.s,15,125.00,,71.30,63.80,77.50,38.75,26.25,21.25
Colpidium,42-C.s,15,37.50,82.50,78.80,108.80,67.50,37.50,18.75,30.00
S. fonticola,4,22,87.50,82.50,84.50,111.30,75.00,87.50,75.00,93.70
S. fonticola,5,22,100.00,80.00,77.50,82.50,85.00,68.75,66.30,85.00
S. fonticola,6,22,137.50,97.50,85.00,86.30,61.30,70.00,77.50,68.75
S. fonticola,19,20,25.00,87.50,85.00,98.80,78.75,71.25,68.80,101.25
S. fonticola,20,20,87.50,63.80,81.30,76.30,72.50,85.00,72.50,85.00
S. fonticola,21,20,50.00,77.50,83.80,97.50,68.75,71.25,60.00,98.75
S. fonticola,34,15,50.00,,101.30,93.80,70.00,91.25,76.30,80.00
S. fonticola,35,15,62.50,,65.00,72.50,61.25,72.50,66.30,102.50
S. fonticola,36,15,112.50,,76.30,67.50,61.25,77.50,91.30,77.50
,,,,,,,,,,
