id,thousand.years
S1,888
S2,112
S3,854
S4,171
S5,544
S6,207
S7,1488
S8,365
S9,368
S10,405
S11,1207
S12,511
S13,1532
S14,523
S15,1429
S16,554
S17,1438
S18,557
S19,1593
S20,567
S21,793
S22,582
S23,1030
S24,634
S25,1186
S26,668
S27,906
S28,701
S29,1048
S30,727
S31,868
S32,744
S33,833
S34,781
S35,565
S36,795
S37,1181
S38,800
S39,927
S40,827
S41,248
S42,844
S43,684
S44,850
S45,1394
S46,862
S47,730
S48,877
S49,805
S50,888
S51,192
S52,900
S53,1240
S54,908
S55,1583
S56,911
S57,1007
S58,933
S59,949
S60,937
S61,1316
S62,950
S63,1267
S64,976
S65,1151
S66,991
S67,492
S68,1016
S69,1898
S70,1020
S71,1618
S72,1041
S73,112
S74,1078
S75,707
S76,1101
S77,935
S78,1119
S79,1580
S80,1141
S81,1148
S82,1151
S83,957
S84,1156
S85,1466
S86,1182
S87,1263
S88,1188
S89,1887
S90,1196
S91,1115
S92,1209
S93,1140
S94,1229
S95,1646
S96,1240
S97,628
S98,1253
S99,1222
S100,1262
S101,988
S102,1264
S103,796
S104,1315
S105,513
S106,1362
S107,1089
S108,1376
S109,665
S110,1396
S111,1259
S112,1414
S113,0
S114,1438
S115,1471
S116,1440
S117,1736
S118,1467
S119,753
S120,1482
S121,555
S122,1517
S123,1990
S124,1527
S125,1017
S126,1557
S127,889
S128,1580
S129,1372
S130,1592
S131,1192
S132,1612
S133,580
S134,1645
S135,850
S136,1708
S137,1238
S138,1730
S139,909
S140,1745
S141,1829
S142,1873
S143,1729
S144,1887
S145,1413
S146,1904
S147,1526
S148,1985
S149,1972
S150,2000
