id,max.breadth,basi.height,basi.length,nasal.height
S1,120,66,65,25
S2,113,67,74,28
S3,104,74,74,30
S4,111,73,66,35
S5,116,63,77,30
S6,118,66,72,32
S7,123,69,67,31
S8,128,65,76,27
S9,114,73,80,29
S10,110,77,82,29
S11,122,72,74,34
S12,112,74,90,27
S13,122,61,87,34
S14,124,68,84,28
S15,127,68,86,25
S16,134,75,70,27
S17,123,78,70,35
S18,119,72,78,38
S19,118,79,84,26
S20,120,67,91,29
S21,116,77,85,29
S22,129,75,74,29
S23,122,71,84,34
S24,114,73,88,36
S25,128,77,71,36
S26,122,64,91,36
S27,124,79,74,37
S28,128,75,81,31
S29,131,76,78,29
S30,129,76,88,22
S31,119,76,91,30
S32,130,71,88,28
S33,125,76,79,37
S34,121,80,87,31
S35,129,66,90,34
S36,108,80,97,35
S37,128,77,82,33
S38,136,74,70,39
S39,138,74,80,29
S40,128,80,84,29
S41,125,82,85,29
S42,132,80,82,28
S43,128,81,76,37
S44,125,79,80,38
S45,133,79,79,32
S46,119,81,87,36
S47,133,78,77,36
S48,131,70,90,33
S49,125,84,81,34
S50,127,77,83,38
S51,123,81,82,39
S52,128,67,95,36
S53,127,70,91,37
S54,121,84,84,37
S55,124,80,85,36
S56,125,80,86,34
S57,134,81,81,30
S58,128,75,90,34
S59,128,86,80,32
S60,133,81,82,31
S61,133,80,84,32
S62,127,71,95,35
S63,130,83,83,32
S64,132,87,78,32
S65,119,76,100,35
S66,124,76,89,41
S67,129,83,79,41
S68,132,75,82,43
S69,122,84,85,40
S70,134,76,85,37
S71,139,74,82,37
S72,135,82,76,39
S73,130,88,82,34
S74,130,76,96,33
S75,123,81,84,47
S76,119,96,84,38
S77,133,80,88,36
S78,125,82,88,42
S79,140,75,92,31
S80,153,77,72,37
S81,126,84,83,45
S82,137,83,85,34
S83,128,76,103,32
S84,143,93,68,35
S85,123,87,87,43
S86,139,74,86,40
S87,136,74,90,41
S88,143,84,77,36
S89,130,90,83,38
S90,127,80,96,39
S91,124,88,89,41
S92,133,90,80,39
S93,134,78,92,39
S94,137,78,89,39
S95,128,84,89,43
S96,138,88,78,40
S97,141,77,83,43
S98,135,83,87,39
S99,113,87,106,39
S100,143,75,87,40
S101,140,73,90,43
S102,135,84,89,38
S103,134,81,89,41
S104,140,85,84,38
S105,143,78,92,35
S106,124,93,89,44
S107,145,91,82,32
S108,125,95,81,50
S109,142,81,85,44
S110,133,82,99,38
S111,131,86,96,40
S112,135,85,87,46
S113,139,81,93,41
S114,144,84,89,37
S115,127,92,94,41
S116,132,78,107,37
S117,133,86,91,46
S118,140,93,81,42
S119,143,91,80,43
S120,142,82,95,38
S121,138,88,94,38
S122,138,81,91,49
S123,132,98,89,40
S124,128,89,102,40
S125,139,87,95,39
S126,127,86,99,48
S127,133,95,101,33
S128,130,87,98,47
S129,128,83,99,52
S130,139,79,102,43
S131,129,94,95,44
S132,128,89,101,46
S133,139,81,92,52
S134,134,87,101,44
S135,143,90,91,43
S136,143,93,91,42
S137,137,96,89,48
S138,135,90,99,46
S139,150,81,90,49
S140,143,83,98,47
S141,139,95,90,51
S142,138,101,92,47
S143,137,92,100,51
S144,146,93,92,47
S145,137,95,96,51
S146,135,87,106,51
S147,132,95,109,48
S148,140,89,107,49
S149,143,88,105,48
S150,150,95,100,40
