id,Dimension,Measure
S1,max.breadth,120
S2,max.breadth,113
S3,max.breadth,104
S4,max.breadth,111
S5,max.breadth,116
S6,max.breadth,118
S7,max.breadth,123
S8,max.breadth,128
S9,max.breadth,114
S10,max.breadth,110
S11,max.breadth,122
S12,max.breadth,112
S13,max.breadth,122
S14,max.breadth,124
S15,max.breadth,127
S16,max.breadth,134
S17,max.breadth,123
S18,max.breadth,119
S19,max.breadth,118
S20,max.breadth,120
S21,max.breadth,116
S22,max.breadth,129
S23,max.breadth,122
S24,max.breadth,114
S25,max.breadth,128
S26,max.breadth,122
S27,max.breadth,124
S28,max.breadth,128
S29,max.breadth,131
S30,max.breadth,129
S31,max.breadth,119
S32,max.breadth,130
S33,max.breadth,125
S34,max.breadth,121
S35,max.breadth,129
S36,max.breadth,108
S37,max.breadth,128
S38,max.breadth,136
S39,max.breadth,138
S40,max.breadth,128
S41,max.breadth,125
S42,max.breadth,132
S43,max.breadth,128
S44,max.breadth,125
S45,max.breadth,133
S46,max.breadth,119
S47,max.breadth,133
S48,max.breadth,131
S49,max.breadth,125
S50,max.breadth,127
S51,max.breadth,123
S52,max.breadth,128
S53,max.breadth,127
S54,max.breadth,121
S55,max.breadth,124
S56,max.breadth,125
S57,max.breadth,134
S58,max.breadth,128
S59,max.breadth,128
S60,max.breadth,133
S61,max.breadth,133
S62,max.breadth,127
S63,max.breadth,130
S64,max.breadth,132
S65,max.breadth,119
S66,max.breadth,124
S67,max.breadth,129
S68,max.breadth,132
S69,max.breadth,122
S70,max.breadth,134
S71,max.breadth,139
S72,max.breadth,135
S73,max.breadth,130
S74,max.breadth,130
S75,max.breadth,123
S76,max.breadth,119
S77,max.breadth,133
S78,max.breadth,125
S79,max.breadth,140
S80,max.breadth,153
S81,max.breadth,126
S82,max.breadth,137
S83,max.breadth,128
S84,max.breadth,143
S85,max.breadth,123
S86,max.breadth,139
S87,max.breadth,136
S88,max.breadth,143
S89,max.breadth,130
S90,max.breadth,127
S91,max.breadth,124
S92,max.breadth,133
S93,max.breadth,134
S94,max.breadth,137
S95,max.breadth,128
S96,max.breadth,138
S97,max.breadth,141
S98,max.breadth,135
S99,max.breadth,113
S100,max.breadth,143
S101,max.breadth,140
S102,max.breadth,135
S103,max.breadth,134
S104,max.breadth,140
S105,max.breadth,143
S106,max.breadth,124
S107,max.breadth,145
S108,max.breadth,125
S109,max.breadth,142
S110,max.breadth,133
S111,max.breadth,131
S112,max.breadth,135
S113,max.breadth,139
S114,max.breadth,144
S115,max.breadth,127
S116,max.breadth,132
S117,max.breadth,133
S118,max.breadth,140
S119,max.breadth,143
S120,max.breadth,142
S121,max.breadth,138
S122,max.breadth,138
S123,max.breadth,132
S124,max.breadth,128
S125,max.breadth,139
S126,max.breadth,127
S127,max.breadth,133
S128,max.breadth,130
S129,max.breadth,128
S130,max.breadth,139
S131,max.breadth,129
S132,max.breadth,128
S133,max.breadth,139
S134,max.breadth,134
S135,max.breadth,143
S136,max.breadth,143
S137,max.breadth,137
S138,max.breadth,135
S139,max.breadth,150
S140,max.breadth,143
S141,max.breadth,139
S142,max.breadth,138
S143,max.breadth,137
S144,max.breadth,146
S145,max.breadth,137
S146,max.breadth,135
S147,max.breadth,132
S148,max.breadth,140
S149,max.breadth,143
S150,max.breadth,150
S1,basi.height,66
S2,basi.height,67
S3,basi.height,74
S4,basi.height,73
S5,basi.height,63
S6,basi.height,66
S7,basi.height,69
S8,basi.height,65
S9,basi.height,73
S10,basi.height,77
S11,basi.height,72
S12,basi.height,74
S13,basi.height,61
S14,basi.height,68
S15,basi.height,68
S16,basi.height,75
S17,basi.height,78
S18,basi.height,72
S19,basi.height,79
S20,basi.height,67
S21,basi.height,77
S22,basi.height,75
S23,basi.height,71
S24,basi.height,73
S25,basi.height,77
S26,basi.height,64
S27,basi.height,79
S28,basi.height,75
S29,basi.height,76
S30,basi.height,76
S31,basi.height,76
S32,basi.height,71
S33,basi.height,76
S34,basi.height,80
S35,basi.height,66
S36,basi.height,80
S37,basi.height,77
S38,basi.height,74
S39,basi.height,74
S40,basi.height,80
S41,basi.height,82
S42,basi.height,80
S43,basi.height,81
S44,basi.height,79
S45,basi.height,79
S46,basi.height,81
S47,basi.height,78
S48,basi.height,70
S49,basi.height,84
S50,basi.height,77
S51,basi.height,81
S52,basi.height,67
S53,basi.height,70
S54,basi.height,84
S55,basi.height,80
S56,basi.height,80
S57,basi.height,81
S58,basi.height,75
S59,basi.height,86
S60,basi.height,81
S61,basi.height,80
S62,basi.height,71
S63,basi.height,83
S64,basi.height,87
S65,basi.height,76
S66,basi.height,76
S67,basi.height,83
