time,event,Treatment
4,1,Con
4,1,Con
5,1,Con
5,1,Con
5,1,Con
6,1,Con
6,1,Con
7,1,Con
6,0,Con
6,1,Con
8,1,Con
4,1,Con
5,1,Con
4,1,Con
5,1,Con
5,1,Con
5,1,Con
7,1,Con
7,1,Con
7,1,Con
8,1,Con
8,0,Con
4,1,Con
4,1,Con
4,1,Con
5,1,Con
5,1,Con
5,1,Con
7,1,Con
7,1,Con
7,1,Con
7,0,Con
7,1,Con
3,1,Con
4,1,Con
4,1,Con
5,1,Con
5,1,Con
6,1,Con
5,1,Con
7,1,Con
7,1,Con
7,1,Con
8,1,Con
4,1,Con
5,1,Con
5,0,Con
5,1,Con
6,1,Con
6,1,Con
7,1,Con
7,1,Con
7,1,Con
6,1,Con
8,1,Con
2,1,Trans
3,1,Trans
3,1,Trans
2,1,Trans
3,1,Trans
2,1,Trans
3,1,Trans
2,1,Trans
3,1,Trans
3,1,Trans
4,0,Trans
3,1,Trans
2,1,Trans
2,1,Trans
3,1,Trans
3,1,Trans
3,1,Trans
3,0,Trans
2,1,Trans
3,1,Trans
4,1,Trans
4,1,Trans
3,1,Trans
2,1,Trans
3,1,Trans
3,1,Trans
3,1,Trans
2,1,Trans
3,1,Trans
3,1,Trans
4,1,Trans
4,0,Trans
3,1,Trans
3,1,Trans
1,1,Trans
2,1,Trans
3,1,Trans
3,1,Trans
3,1,Trans
3,1,Trans
2,1,Trans
3,1,Trans
3,1,Trans
3,1,Trans
3,1,Trans
2,1,Trans
2,1,Trans
3,1,Trans
3,1,Trans
3,0,Trans
2,1,Trans
4,1,Trans
4,1,Trans
4,1,Trans
3,1,Trans
